"Required.
Licensor DisplayName from Avail","Required.
ServiceProvider from Avail","Optional.
Customer-facing studio credit line.
Separate names with semicolons.","Required.
Series, Season, or Episode","Required for series and seasons.
Level 2 EIDR","Required for seasons and episodes.
Level 2 EIDR ","Required for episodes.
Level 2 EIDR","Required.
YYYY format","Optional.
YYYY-MM-DD format","Optional.
Two-letter country code from
https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2 or ""Rating Territories"" sheet
","Optional.
Select language code from ""Languages"" sheet","Optional.
Select language code from ""Languages"" sheet",Optional.,"Required for seasons and episodes.
 ",Optional.,"Required.
Choose at least 1 from ""Genres"" tab.
Separate genres with semicolons.","Required if providing cast or crew.
Series ID, Season ID, or Episode ID corresponding to cast and crew in row.","Required if providing cast and crew names not in Original Language.
Select language code from ""Languages"" sheet","Optional.
First Name Last name.
Separate names with semicolons.
A character name can be added in brackets after an actor's name.","Optional.
First Name Last name.
Separate names with semicolons.
A character name can be added in brackets after an actor's name.","Optional.
First Name Last name.
Separate names with semicolons.","Optional.
First Name Last name.
Separate names with semicolons.","Optional.
First Name Last name.
Separate names with semicolons.","Optional.
First Name Last name.
Separate names with semicolons.","Required.
Series ID, Season ID, or Episode ID that localization is for. ","Required.
Choose a locale from ""Languages"" tab.
",Required.,"Optional.
190 character limit.
Filled in from available synopsis if blank. Truncated if over character limit.","Optional.
400 character limit.
Filled in from available synopsis if blank. Truncated if over character limit.","Required.
4000 character limit.
Filled in from available synopsis if blank. Truncated if over character limit.","Required.
Series ID, Season ID, or Episode ID that rating is for. ","Required.
Two-letter country code from
https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2 or ""Rating Territories"" sheet","Required.
Select a valid TV rating for Rating Territory from https://support.google.com/moviestvpartners/table/6224887"
Licensor,Service Provider,Studio Display Name,Content Type,Series ID,Season ID,Episode ID,Release Year,Release Date,Country of Origin,Original Language,Primary Spoken Language,Original Title,Sequence,Copyirght Line,Genres,Unique ID,Localized Language,Guest Actors,Actors,Writers,Directors,Producers,Creators,Unique ID,Localized Language,Localized Title,Short Synopsis,Medium Synopsis,Long Synopsis,Unique ID,Rating Territory,Rating Value
Lionsgate,premiere,Lionsgate,Series,STARZ_FLESH_SEASON,,,2015,,US,en,en,FLESH AND BONE,,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,STARZ_FLESH_SEASON,en,,,,,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,STARZ_FLESH_SEASON,it,FLESH AND BONE,,,"""Flesh and Bones"" segue le vicende di Claire, una giovane ballerina dal passato problematico, che si unisce a una prestigiosa compagnia di ballo Newyorkese.
Una serie oscura , cruda e complessa che esplora il mondo fascinoso e anomalo del balletto.
Claire è una ragazza fragile e sessualmente ferita con tendenze autodistruttive che si frappongono alla sua ambizione.
E' una ballerina eccezionale ma i suoi tormenti interiori e la sua aspirazione la portano verso atteggiamenti imprevedibili e coinvolgenti, in particolar modo quando si trova a confrontarsi con i complotti del volubile direttore artistico della compagnia e con delle figure oscure del proprio passato.",STARZ_FLESH_SEASON,IT,VM18
,,,Season,STARZ_FLESH_SEASON,STARZ_FLESH_SEASON_001,,2015,,US,en,en,FLESH AND BONE: SEASON 1,1,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,STARZ_FLESH_SEASON_001,en,,,,,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,STARZ_FLESH_SEASON_001,it,FLESH AND BONE: STAGIONE 1,,,"Flesh and Bones"" segue le vicende di Claire, una giovane ballerina dal passato problematico, che si unisce a una prestigiosa compagnia di ballo Newyorkese.
Claire è una ballerina eccezionale ma i suoi tormenti interiori e la sua aspirazione la portano verso atteggiamenti imprevedibili e coinvolgenti.
Una serie oscura , cruda e complessa che esplora il mondo fascinoso e anomalo del balletto.",STARZ_FLESH_SEASON_001,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_01,2015,2015-11-08,US,en,en,Bulling Through,1,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_01,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket,David Michôd,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_01,it,Reazione immediata,,,"Fuggendo dalla sua violenta famiglia di Pittsburgh, Claire si lascia alle spalle un passato problematico per entrare nella prestigiosa American Ballet a New York. Con sconcerto di molti degli altri ballerini della compagnia, Claire diventa la nuova musa di Paul, il direttore artistico della compagnia, creandosi nuove opportunità e nuovi nemici.
Claire affronta la pressione e l'insicurezza con atteggiamenti autodistruttivi.
Con un gesto di amicizia molto raro tra i ballerini, Daphne condivide con lei la sua passione segreta e il suo antidoto al balletto e la porta in uno strip club, rafforzando in Claire l'immagine di tutto quello che vorrebbe essere ma ancora non è.
Al Galà di apertura della nuova stagione, Paul è sicuro che Claire attirerà l'attenzione di Laurent Brosseau ,nuovo presidente del consiglio di amministrazione, che infatti commissionerà un nuovo balletto che la veda protagonista.
Nonostante abbia abbandonato la propria casa, il passato di Claire arriverà a darle la caccia.
",FLESH_EP_01_01,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_02,2015,2015-11-15,US,en,en,Cannon Fodder,2,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_02,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket,Joshua Marston,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_02,it,Il coniglietto di velluto,,,"Claire cerca di rompere i forti legami che ha con il fratello una volta per tutte per poter vivere a pieno la città e la propria nuova vita, ma viene investita di attenzioni maschili non desiderate continuamente.
Bryan affrontando dei grandi problemi nel contattare Claire e guidato da un desiderio incessante di vederla decide di andare a New York per incontrarla.
Jessica tenta in tutti i modi di convincere Paul ad ingaggiare un nuovo coreografo all'avanguardia per cercare di ringiovanire l'immagine della compagnia.
Kiira, prima ballerina ormai d'età, propone a Paul un piano che le permetta di restare sotto le luci della ribalta e si rivolge a Jasper per ottenere quello che le serve.
Mia non riesce a nascondere la gelosia che prova verso la velocissima scalata al successo di Claire, convinta che non abbia quello che serve.
Claire viene obbligata a un appuntamento con Laurent, presidente del consiglio di amministrazione, che si rivelerà tutt'altro che un affare.
",FLESH_EP_01_02,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_03,2015,2015-11-22,US,en,en,Reconnaissance,3,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_03,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket; Adam Rapp,Stefan Schwartz,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_03,it,Passione e rabbia,,,"Sull'onda dell'improvviso abbandono del presidente del consiglio, risultato della disastrosa serata con Claire , Paul e Jessica si ritrovano a dover fronteggiare un grosso rischio finanziario. Ma the show must go on. L'arrivo di Tony Cannava, istrionico coreografo, incuriosisce ed intriga i ballerini  e questo costringe Paul a mascherare la propria rabbia e il proprio disappunto per aver perso l'affetto dei propri ballerini.
Daphne inizia una sgradevole trattativa finanziaria con l'American Ballet in cambio di una promozione, mentre Kiira lotta per mantenere le apparenze durante le prove per Rubies e nascondere l'uso sempre maggiore di droghe in seguito a una brutta ferita.
Claire, desiderosa di migliorare la propria sensualità, va a trovare Sergei allo strip club.
L'arrivo di Bryan a new York elettrizza Romeo, eccita Mia e sconvolge Claire.
",FLESH_EP_01_03,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_04,2015,2015-11-29,US,en,en,Boogie Dark,4,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_04,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket; David Weiner,Adam Davidson,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_04,it,Buio e luce,,,"Con sgomento di Bryan, Claire cerca di allontanarlo dalla sua vita a New York. nel frattempo in compagnia, la vulnerabilità emotiva di Claire viene messa alla prova dalla nuova coreografia di Tony, facendola avvicinare sempre di più al mondo dello strip club.
Mia continua a combattere con i dolori alla spalla, Ross percepisce il timore di Paul riguardo il successo di Tony con i ballerini e il futuro della propria carriera.
Quando Brayn scopre il convolgimento di Claire con lo strip club cerca in tutti i modi di avvicinarla ma Claire è molto determinata a escluderlo completamente dalla propria vita per sempre.
",FLESH_EP_01_04,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_05,2015,2015-12-06,US,en,en,M.I.A.,5,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_05,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket; Jamie O'Brien,Sam Miller,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_05,it,Le ombre del palcoscenico,,,"Claire e Kiira sono in competizione per diventare il volto della nuova stagione dell'American Ballett, mentre Trey cerca di rimediare alla frattura che sembra essersi creata tra Paul e Ross.
Dopo un incidente in sala prove Mia è preoccupata che i suoi problemi alimentari le stiano creando qualcosa in più di una semplice perdita di peso, e la visita di sua madre dal New Jesey non l'aiuta.
Mia è costretta a fronteggiare le ripercussioni causate dal suo incontro con Bryan.
Kiira torna da Jasper per una tregua dai suoi obblighi. Claire e Daphne si esibiscono in uno stralcio del nuovo balletto durante un evento privato organizzato da Sergei e Claire ha una breve visione delle attività losche nel quale è coinvolto il proprietario del club.
",FLESH_EP_01_05,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_06,2015,2015-12-13,US,en,en,F.U.B.A.R.,6,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_06,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket; Adam Rapp,Sam Miller,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_06,it,Il ringraziamento,,,"Arriva il Ringraziamento e la nervosi di Paul stressa enormemente tutti i ballerini; decide infatti di punire tutta la compagnia per avere espresso il desiderio di tornare a casa portandoli così allo sfinimento.
Claire trova il coraggio di andare a casa per vedere Frank, suo padre malato e Bryan che non vede dal loro ultimo terribile incontro a New York.
Mia dopo aver ricevuto notizie sulle proprie condizioni di salute prende una decisione drastica.
Kiira passa le vacanze con i propri suoceri sentendosi un estranea nella sua stessa vita, è testimone dell'incapacità di Ross di risolvere la situazione con Paul.
La visita di Claire a casa si dimostra un esperienza catartica sotto tutti i punti di vista e al suo ritorno a New York viene messa alla prova da nuovi enormi problemi.
",FLESH_EP_01_06,IT,VM18
,,,Episode,,STARZ_FLESH_SEASON_001,FLESH_EP_01_07,2015,2015-12-20,US,en,en,Full Dress,7,"© 2015 Starz Entertainment, LLC. All Rights Reserved.",Drama,FLESH_EP_01_07,en,,Sarah Hay; Ben Daniels; Emily Tyra; Irina Dvorovenko; Damon Herriman; Josh Helman; Raychel Diane Weiner; Sascha Radetsky; Karell Williams; Tina Benko; John Allee; Patrick Page; Stephen Schnetzer; Vanessa Aspillaga; Marylouise Burke; Clifton Duncan; Tovah,Bronwyn Garrity; Moira Walley-Becket; David Weiner,Alik Sakharov,Lawrence Bender; Kevin Kelly Brown; John Melfi; Moira Walley-Beckett,Moira Walley-Beckett,FLESH_EP_01_07,it,La vigilia,,,"La sera della prima è alle porte e Paul incolpa Toni di un contrattempo.
Paul sfoga la sua rabbia su Claire e le da delle notizie molto allarmanti. Il piano di Trey per avere successo come solista gli si ritorce contro.
Le drastiche misure a cui devi ricorrere Kiira per mascherare il proprio stato di salute mette in dubbio la propria durata come prima ballerina.
Respinta da Daphne, Jessica risolve i problemi grazie a una risorsa inaspettata. Claire scopre una sconcertante verità su quello che sta succedendo a Mia. Il ritrovato successo di Claire e i profondi problemi con cui combatte da sempre la portano a fare una mossa di cui si potrebbe pentire. Kiira prenderà un importante decisione che cambierà ogni cosa. 
La profezia di Romeo turba profondamente Claire e fa infiammare la loro relazione cosi' come la precaria condizione mentale di Romeo.
",FLESH_EP_01_07,IT,VM18
